block,sub-001,sub-002,sub-013,sub-016,sub-009
1,0.6,0.7666666666666667,0.7272727272727273,0.5666666666666667,0.5142857142857142
2,0.4666666666666667,0.5882352941176471,0.4722222222222222,0.4,0.39473684210526316
3,0.43333333333333335,0.7575757575757576,0.5,0.5666666666666667,0.5294117647058824
4,0.6666666666666666,0.7741935483870968,0.5,0.6666666666666666,0.6129032258064516
5,0.631578947368421,0.5757575757575758,0.5,0.59375,0.5
6,0.5135135135135135,0.5945945945945946,0.9,0.7096774193548387,0.5588235294117647
7,0.6129032258064516,0.5,0.8,0.9333333333333333,0.46875
8,0.4666666666666667,0.6,0.6666666666666666,0.5,0.38461538461538464
9,0.6666666666666666,0.71875,0.4857142857142857,0.6129032258064516,0.575
10,0.5588235294117647,0.9333333333333333,0.2727272727272727,0.78125,0.4594594594594595
11,0.6857142857142857,0.8,0.5625,0.5,0.4375
12,0.6060606060606061,0.7352941176470589,0.8709677419354839,0.5161290322580645,0.6470588235294118
13,0.5,0.8333333333333334,0.8125,0.7419354838709677,0.4
14,,,,0.5714285714285714,
