Subject,Regime,Acc_S1,Acc_last,Acc_drop,KL_S1,KL_last,MMD_drift_max,Sig_drift_sess
sub-001,jump,0.816,0.47,0.346,1.396,0.235,1.2219,4
sub-002,jump,0.875,0.561,0.314,2.652,0.221,1.4217,4
sub-003,ambiguous,0.531,0.5,0.031,0.352,0.035,1.2237,4
sub-004,ambiguous,0.516,0.495,0.021,0.156,0.427,1.349,4
sub-005,ambiguous,0.568,0.505,0.063,5.53,0.239,1.328,4
sub-006,ambiguous,0.527,0.505,0.022,2.976,5.194,1.3465,4
sub-007,jump,0.649,0.47,0.179,0.461,0.315,0.8638,3
sub-008,ambiguous,0.653,0.465,0.188,0.671,0.246,0.8361,4
sub-009,jump,0.745,0.505,0.24,1.632,0.134,1.4716,4
sub-010,ambiguous,0.531,0.49,0.042,0.119,0.021,1.4395,4
sub-011,ambiguous,0.663,0.529,0.134,4.022,0.152,0.5614,4
sub-012,jump,0.769,0.564,0.205,1.556,0.017,1.2231,4
sub-013,jump,0.753,0.495,0.258,1.116,0.371,1.3238,4
sub-014,ambiguous,0.6,0.495,0.105,0.286,0.089,1.4386,4
sub-015,jump,0.723,0.495,0.229,0.412,0.081,1.5352,4
sub-016,jump,0.763,0.52,0.242,1.305,0.058,1.4036,4
sub-017,ambiguous,0.602,0.495,0.107,0.329,0.184,1.4997,4
sub-018,ambiguous,0.469,0.5,-0.031,0.632,0.355,1.3616,4
sub-019,ambiguous,0.548,0.567,-0.019,0.649,0.141,1.4223,4
sub-020,jump,0.68,0.495,0.185,0.428,0.069,1.3002,4
sub-021,jump,0.667,0.571,0.095,0.588,0.421,1.4517,4
sub-022,ambiguous,0.542,0.51,0.031,0.11,0.188,1.49,4
sub-023,ambiguous,0.495,0.5,-0.005,1.923,0.222,1.4615,4
sub-024,ambiguous,0.563,0.494,0.069,1.118,0.088,1.2854,4
sub-025,ambiguous,0.554,0.5,0.054,0.355,0.517,1.3378,4
